IssueID,RelatedPrID,IssueCategory,Participants,IsMPLF,SentimentScore
659,[665],Data bug,1,1,2.0
5685,[5689],Build bug,1,0,-1.5
7853,[14273],Data bug,2,0,-1.0
8270,[12295],Version compatibility bug,7,0,0.7777777777777778
8303,[8398],Data bug,4,1,-0.09090909090909091
8524,[10400],Data bug,2,1,0.75
9034,[12558],Documentation bug,5,1,0.6470588235294118
9166,[14362],Data bug,3,0,0.5714285714285714
9229,[9256],Build bug,4,1,2.2
9314,[14082],Data bug,5,1,0.5714285714285714
9405,[10094],Code bug,3,0,-1.3333333333333333
9853,[11259],Test bug,4,0,-0.5
9865,[9930],Algorithm design bug,3,0,0.25
9976,[9981],Data bug,3,1,0.7
10146,[10615],Algorithm design bug,1,0,0.0
10224,10225,Code bug,3,1,-0.5
10453,[11041],Memory bug,10,1,-0.3939393939393939
10856,[17012],Build bug,5,0,-1.2333333333333334
10858,[13071],Documentation bug,3,0,0.0
10866,[11009],Code bug,3,0,-0.3333333333333333
11077,[11145],Algorithm design bug,3,1,1.0
11352,[11375],Algorithm design bug,1,0,0.6666666666666666
11568,[11806],Test bug,2,1,0.0
12087,[12093],Data bug,1,0,0.0
12318,[13259],Deployment bug,3,0,0.0
12778,[12796],Visualization bug,2,0,3.0
12783,[12794],Code bug,4,0,0.3076923076923077
12787,[14856],Documentation bug,1,1,2.0
12970,[14919],Test bug,3,0,0.0
13061,[14121],Deployment bug,4,0,0.0
13078,[14035],Documentation bug,4,1,0.0
13141,[13328],Version compatibility bug,5,0,1.0
13220,[14251],Data bug,5,1,0.6
13300,[13413],Deployment bug,3,0,0.42857142857142855
13521,[13537],Data bug,2,0,1.0
13616,[14423],Code bug,5,0,0.2727272727272727
13710,[13727],Memory bug,5,0,1.1666666666666667
13740,[13796],Visualization bug,2,0,1.5
13760,[14403],Data bug,6,1,0.4666666666666667
13862,[14356],Version compatibility bug,3,1,1.1428571428571428
13956,[17509],Code bug,6,0,0.6363636363636364
14181,[14215],Code bug,4,0,0.5
14199,[14212],Processor bug,2,0,1.5
14233,[14314],Data bug,5,0,1.0
14236,[14274],Build bug,6,0,1.0
14301,[14302],Algorithm design bug,6,1,0.6666666666666666
14304,[14757],Build bug,6,0,0.5555555555555556
14396,[14451],Code bug,5,1,-0.2727272727272727
14439,[14438],Test bug,1,0,3.0
14505,[14585],Data bug,4,0,2.6
14583,[18182],Visualization bug,4,0,1.1111111111111112
14736,[14781],Test bug,1,0,3.0
14875,[14942],Deployment bug,16,0,0.08823529411764706
14895,[14987],Build bug,4,0,-0.5
14993,[15066],Documentation bug,4,0,1.25
15029,[15041],Data bug,2,1,0.6666666666666666
15062,[15081],Algorithm design bug,4,0,0.0
15214,[15221],Data bug,4,1,1.5
15239,[15242],Data bug,2,0,1.0
15375,[15405],Memory bug,5,0,-0.8333333333333334
15535,[16166],Data bug,4,0,-0.5
15543,[16053],Algorithm design bug,4,1,0.36363636363636365
15555,[15637],Data bug,4,0,1.0
15612,[15601],Build bug,2,0,2.5
15636,[15661],Test bug,2,0,1.0
15652,[15691],Build bug,4,0,0.0
15659,[15697],Build bug,4,0,0.45454545454545453
15670,[15671],Build bug,4,1,1.4285714285714286
15705,[15707],Data bug,4,0,0.6
15709,[15865],Data bug,4,1,2.142857142857143
15716,[15829],Algorithm design bug,4,1,1.0
15767,[15853],Algorithm design bug,7,1,0.07692307692307693
15916,[15917],Deployment bug,1,0,2.0
16146,[17556],Build bug,8,0,0.0625
16338,[16397],Data bug,1,0,3.0
16399,[16432],Processor bug,3,1,1.0
16629,[16690],Build bug,4,0,0.0
16647,[16895],Version compatibility bug,4,1,0.0
16687,[16697],Performance bug,1,0,2.0
16723,[16796],Data bug,2,1,0.6666666666666666
16747,[16781],Data bug,5,0,1.4166666666666667
16833,[16837],Data bug,2,0,1.6666666666666667
16850,[16856],Data bug,3,1,2.0
16887,[16902],Data bug,2,1,0.0
16996,17001,Data bug,2,0,0.75
17020,[17028],Version compatibility bug,4,1,1.25
17061,[17090],Version compatibility bug,1,0,0.0
17103,[17228],Documentation bug,2,0,0.0
17226,17229,Build bug,3,0,0.2
17239,[17297],Build bug,4,0,0.325
17244,[18587],Documentation bug,4,0,0.2857142857142857
17275,[17308],Algorithm design bug,2,0,1.0
17292,[17348],Build bug,5,0,0.5
17299,[17732],Build bug,3,0,-0.3157894736842105
17332,17372,Deployment bug,3,0,0.6
17338,[17356],Build bug,3,0,2.25
17352,[17386],Test bug,2,0,0.0
17472,[17748],Memory bug,4,1,0.0
17529,[17575],Data bug,2,1,0.5
17628,[17647],Build bug,3,0,0.5
17638,[17674],Data bug,2,1,0.6666666666666666
17640,[17642],Code bug,3,0,0.9090909090909091
17641,[17751],Build bug,5,1,-0.3
17654,[17683],Code bug,1,1,0.0
17704,[17709],Algorithm design bug,2,0,1.0
17766,[17770],Data bug,2,0,0.5
17844,[17849],Processor bug,3,1,0.0
17914,[17937],Processor bug,2,1,0.6666666666666666
17918,[17927],Build bug,1,0,0.0
17989,[17995],Algorithm design bug,5,1,-0.7727272727272727
18005,[18018],Build bug,2,0,0.0
18061,18056,Test bug,2,1,0.14285714285714285
18091,[18114],Build bug,3,0,1.0
18099,[18292],Test bug,3,0,-0.16666666666666666
18170,[18761],Build bug,2,0,0.75
18229,[19589],Build bug,4,0,-0.4
18235,[18243],Visualization bug,2,0,1.5
18266,[18794],Code bug,1,0,0.0
18299,[18427],Data bug,1,1,0.0
18322,[18323],Test bug,2,0,0.0
18353,[18393],Data bug,4,0,-0.25
18367,[18369],Visualization bug,4,0,0.875
18373,[18377],Algorithm design bug,4,0,-0.6
18414,[18467],Data bug,2,0,2.0
18491,[18515],Version compatibility bug,3,0,0.16666666666666666
18544,[18554],Data bug,1,0,3.0
18567,[18571],Visualization bug,1,0,0.0
18569,[18602],Algorithm design bug,1,1,2.0
18593,[19470],Version compatibility bug,2,0,1.0
18596,[18601],Test bug,1,0,0.0
18680,[18689],Documentation bug,4,0,0.1111111111111111
18685,[18686],Data bug,1,0,3.0
18695,[18707],Data bug,4,1,0.25
18725,[18733],Documentation bug,2,0,-1.0
18730,[18802],Documentation bug,2,0,0.0
18765,[18768],Processor bug,3,0,1.2857142857142858
18788,[19608],Data bug,7,0,0.09090909090909091
18840,[18851],Build bug,2,0,-0.5
18843,[18853],Deployment bug,2,0,0.75
18849,18850,Build bug,1,0,0.0
18909,[18924],Documentation bug,1,1,0.0
18911,[18917],Data bug,3,1,2.3333333333333335
18913,[19190],Visualization bug,2,1,-1.0
18927,[18972],Data bug,2,1,1.6666666666666667
18934,[18996],Algorithm design bug,2,1,0.0
19006,[19008],Data bug,1,1,2.0
19026,[19035],Build bug,1,1,2.0
19043,[19044],Algorithm design bug,2,1,0.0
19118,[19270],Algorithm design bug,3,0,1.1428571428571428
19286,[19293],Version compatibility bug,1,1,-1.0
19338,[19344],Code bug,2,0,0.5
19360,[19378],Test bug,3,0,0.4
19446,[19455],Processor bug,1,0,1.5
19463,[19488],Data bug,3,1,0.4166666666666667
19502,[19507],Performance bug,2,1,-0.5
19524,[19525],Algorithm design bug,3,0,0.5
19586,[20129],Processor bug,4,1,-0.14285714285714285
19595,[19596],Algorithm design bug,3,1,0.1111111111111111
19690,[19706],Build bug,4,1,0.2777777777777778
19811,19812,Test bug,3,0,0.0
19929,[19940],Processor bug,1,0,1.0
20069,[20070],Code bug,1,1,5.0
20145,20146,Code bug,2,0,0.3333333333333333
20293,[20462],Algorithm design bug,4,1,0.25
20368,[20369],Build bug,3,0,2.6666666666666665
20420,[20421],Data bug,1,1,3.0
20494,[20512],Test bug,4,1,0.125
20731,[21090],Visualization bug,6,0,1.0
20826,[20982],Test bug,1,0,0.0
20836,[20893],Build bug,2,0,0.0
20942,[21087],Documentation bug,4,0,2.25
20963,[20965],Test bug,1,1,3.0
21053,[21058],Data bug,3,0,3.25
